player_id,name,pos,rank,source
3929630,Saquon Barkley,RB,3.36,espn
4241389,CeeDee Lamb,WR,6.3,espn
3054850,Alvin Kamara,RB,8.28,espn
4262921,Justin Jefferson,WR,9.01,espn
4374302,Amon-Ra St. Brown,WR,10.57,espn
4362628,Ja'Marr Chase,WR,10.96,espn
4430737,Kyren Williams,RB,11.48,espn
3043078,Derrick Henry,RB,12.74,espn
3116406,Tyreek Hill,WR,14.27,espn
4242335,Jonathan Taylor,RB,14.42,espn
3117251,Christian McCaffrey,RB,15.96,espn
4595348,Malik Nabers,WR,16.13,espn
4258173,Nico Collins,WR,16.24,espn
4430807,Bijan Robinson,RB,17.32,espn
3916387,Lamar Jackson,QB,18.52,espn
4047646,A.J. Brown,WR,19.37,espn
3918298,Josh Allen,QB,22.69,espn
4427366,Breece Hall,RB,23.15,espn
4429160,De'Von Achane,RB,23.18,espn
4429795,Jahmyr Gibbs,RB,23.27,espn
4432708,Marvin Harrison Jr.,WR,25.46,espn
4426348,Jayden Daniels,QB,30.39,espn
4426515,Puka Nacua,WR,30.91,espn
2977187,Cooper Kupp,WR,30.92,espn
4040715,Jalen Hurts,QB,31.15,espn
4426502,Drake London,WR,32.23,espn
3126486,Deebo Samuel Sr.,WR,33.3,espn
3116385,Joe Mixon,RB,36.5,espn
4047650,DK Metcalf,WR,37.81,espn
4379399,James Cook,RB,41.81,espn
3042519,Aaron Jones,RB,41.89,espn
4567048,Kenneth Walker III,RB,42.61,espn
3040151,George Kittle,TE,43.54,espn
16737,Mike Evans,WR,44.82,espn
4569618,Garrett Wilson,WR,48.51,espn
3116165,Chris Godwin,WR,48.86,espn
15847,Travis Kelce,TE,49.19,espn
4361307,Trey McBride,TE,49.96,espn
3121422,Terry McLaurin,WR,50.45,espn
16800,Davante Adams,WR,52.29,espn
3916148,Tony Pollard,RB,55.92,espn
4035538,David Montgomery,RB,57.93,espn
4241474,Brian Robinson Jr.,RB,59.66,espn
4426354,George Pickens,WR,61.23,espn
4047365,Josh Jacobs,RB,62.22,espn
3915416,DJ Moore,WR,64.12,espn
2577417,Dak Prescott,QB,65.47,espn
3915511,Joe Burrow,QB,65.84,espn
4432665,Brock Bowers,TE,66.23,espn
4259545,D'Andre Swift,RB,70.52,espn
3932905,Diontae Johnson,WR,71.15,espn
4242355,Jake Ferguson,TE,74.78,espn
2976212,Stefon Diggs,WR,76.84,espn
4241478,DeVonta Smith,WR,78.14,espn
3045147,James Conner,RB,78.44,espn
4241985,J.K. Dobbins,RB,83.31,espn
4429615,Zay Flowers,WR,83.9,espn
4372016,Jaylen Waddle,WR,84.2,espn
4362249,Jayden Reed,WR,84.29,espn
4430878,Jaxon Smith-Njigba,WR,85.34,espn
4430027,Sam LaPorta,TE,86.59,espn
4239993,Tee Higgins,WR,87.31,espn
-16016,Vikings D/ST,DEF,88.35,espn
3953687,Brandon Aubrey,K,91.74,espn
3139477,Patrick Mahomes,QB,91.92,espn
4361370,Chris Olave,WR,92.2,espn
-16007,Broncos D/ST,DEF,92.73,espn
4432577,C.J. Stroud,QB,93.94,espn
4361741,Brock Purdy,QB,94.11,espn
4385690,Dalton Kincaid,TE,95.13,espn
3121023,Dallas Goedert,TE,96.24,espn
4036133,T.J. Hockenson,TE,96.82,espn
4362887,Justin Fields,QB,96.87,espn
4239996,Travis Etienne Jr.,RB,98.6,espn
-16033,Ravens D/ST,DEF,100.29,espn
3917315,Kyler Murray,QB,100.45,espn
4241457,Najee Harris,RB,101.85,espn
4569173,Rhamondre Stevenson,RB,102.97,espn
4241416,Chuba Hubbard,RB,103.59,espn
4360438,Brandon Aiyuk,WR,103.65,espn
3128429,Courtland Sutton,WR,104.67,espn
4697815,Rachaad White,RB,107.69,espn
15683,Justin Tucker,K,109.65,espn
4040655,Darnell Mooney,WR,110.38,espn
3050478,Jake Elliott,K,111.15,espn
4035676,Zack Moss,RB,111.41,espn
4362238,Chase Brown,RB,112.28,espn
4361579,Javonte Williams,RB,112.34,espn
4612826,Ladd McConkey,WR,112.78,espn
3128720,Nick Chubb,RB,114.8,espn
3052587,Baker Mayfield,QB,114.93,espn
4035687,Michael Pittman Jr.,WR,114.98,espn
3123076,David Njoku,TE,115.72,espn
4036378,Jordan Love,QB,116.88,espn
2976499,Amari Cooper,WR,117.12,espn
4596448,Bucky Irving,RB,117.54,espn
4032473,Rashid Shaheed,WR,118.78,espn
17372,Chris Boswell,K,119.0,espn
4689936,Jake Bates,K,119.38,espn
4038815,Rico Dowdle,RB,119.66,espn
4040761,Devin Singletary,RB,119.8,espn
4683062,Xavier Worthy,WR,121.78,espn
4432773,Brian Thomas Jr.,WR,122.42,espn
4242214,Clyde Edwards-Helaire,RB,123.02,espn
3051876,Evan Engram,TE,123.38,espn
4429205,Jordan Addison,WR,124.95,espn
4366031,Tank Dell,WR,125.19,espn
3059915,Kareem Hunt,RB,125.54,espn
-16023,Steelers D/ST,DEF,125.72,espn
4569587,Wan'Dale Robinson,WR,125.98,espn
4426388,Jameson Williams,WR,127.04,espn
-16012,Chiefs D/ST,DEF,128.07,espn
-16020,Jets D/ST,DEF,129.66,espn
3821683,Austin Seibert,K,129.74,espn
3895856,Christian Kirk,WR,130.02,espn
4373678,Khalil Shakir,WR,130.68,espn
3068267,Austin Ekeler,RB,130.76,espn
-16008,Lions D/ST,DEF,132.03,espn
15795,DeAndre Hopkins,WR,132.61,espn
4678008,Jonathon Brooks,RB,133.63,espn
3912547,Sam Darnold,QB,134.92,espn
2971573,Ka'imi Fairbairn,K,135.8,espn
15864,Geno Smith,QB,136.72,espn
3728262,Ray-Ray McCloud III,WR,137.19,espn
3046779,Jared Goff,QB,137.68,espn
4688813,Josh Downs,WR,138.28,espn
4572680,Tucker Kraft,TE,138.39,espn
-16034,Texans D/ST,DEF,138.59,espn
3925357,Calvin Ridley,WR,139.08,espn
4241463,Jerry Jeudy,WR,139.23,espn
15818,Keenan Allen,WR,139.28,espn
2577327,Tyler Lockett,WR,141.01,espn
4426338,Bo Nix,QB,141.3,espn
2468609,Taysom Hill,TE,141.91,espn
3054212,Jonnu Smith,TE,144.44,espn
4361432,Romeo Doubs,WR,145.17,espn
-16024,Chargers D/ST,DEF,145.2,espn
4361777,Zamir White,RB,145.58,espn
3116365,Mark Andrews,TE,145.72,espn
4243331,Cade Otton,TE,145.79,espn
4372066,Jake Moody,K,146.38,espn
4241479,Tua Tagovailoa,QB,147.96,espn
4428557,Tyjae Spears,RB,148.5,espn
4429084,Anthony Richardson,QB,149.0,espn
4685247,Braelon Allen,RB,150.26,espn
-16021,Eagles D/ST,DEF,150.44,espn
4360516,Tyrone Tracy Jr.,RB,151.15,espn
3915486,Tyler Conklin,TE,152.49,espn
2576414,Raheem Mostert,RB,152.67,espn
4360248,Kyle Pitts,TE,152.67,espn
3916433,Jakobi Meyers,WR,152.69,espn
4429025,Quentin Johnston,WR,153.07,espn
3150744,Chase McLaughlin,K,154.2,espn
-16018,Saints D/ST,DEF,154.24,espn
4430034,Xavier Legette,WR,154.52,espn
4038941,Justin Herbert,QB,157.08,espn
8439,Aaron Rodgers,QB,157.21,espn
15835,Zach Ertz,TE,157.7,espn
3886598,Jauan Jennings,WR,157.72,espn
-16006,Cowboys D/ST,DEF,157.85,espn
4569987,Jaylen Warren,RB,157.9,espn
-16025,49ers D/ST,DEF,158.87,espn
4360234,Evan McPherson,K,159.05,espn
-16005,Browns D/ST,DEF,159.09,espn
4243537,Gabe Davis,WR,159.18,espn
-16010,Titans D/ST,DEF,159.77,espn
4038441,Justice Hill,RB,160.07,espn
-16002,Bills D/ST,DEF,160.18,espn
3917792,Daniel Jones,QB,160.27,espn
4362081,Cameron Dicker,K,160.64,espn
4361411,Pat Freiermuth,TE,160.76,espn
3055899,Harrison Butker,K,161.51,espn
4248528,Christian Watson,WR,161.77,espn
3917232,Tyler Bass,K,161.77,espn
4567104,Will Reichard,K,162.15,espn
4426385,Zach Charbonnet,RB,162.97,espn
14880,Kirk Cousins,QB,162.97,espn
4360569,Jordan Mason,RB,163.43,espn
