player_id,name,pos,rank,source
4429795,Jahmyr Gibbs,RB,1.32,espn
4430807,Bijan Robinson,RB,2.38,espn
4362628,Ja'Marr Chase,WR,4.26,espn
4426515,Puka Nacua,WR,5.3,espn
4242335,Jonathan Taylor,RB,6.16,espn
4430878,Jaxon Smith-Njigba,WR,6.3,espn
3117251,Christian McCaffrey,RB,7.71,espn
4374302,Amon-Ra St. Brown,WR,8.38,espn
4379399,James Cook III,RB,10.1,espn
4241389,CeeDee Lamb,WR,11.8,espn
4429160,De'Von Achane,RB,12.48,espn
4262921,Justin Jefferson,WR,12.62,espn
3929630,Saquon Barkley,RB,14.0,espn
3043078,Derrick Henry,RB,16.53,espn
4362238,Chase Brown,RB,17.08,espn
4685382,Omarion Hampton,RB,18.09,espn
3918298,Josh Allen,QB,19.14,espn
4426502,Drake London,WR,20.36,espn
4047646,A.J. Brown,WR,20.99,espn
4890973,Ashton Jeanty,RB,21.83,espn
4361307,Trey McBride,TE,23.02,espn
4432665,Brock Bowers,TE,23.93,espn
4567048,Kenneth Walker III,RB,24.83,espn
4258173,Nico Collins,WR,25.71,espn
4870808,Jeremiyah Love,RB,25.95,espn
4426354,George Pickens,WR,28.22,espn
4361370,Chris Olave,WR,29.36,espn
4428331,Rashee Rice,WR,29.4,espn
4361579,Javonte Williams,RB,32.71,espn
3916387,Lamar Jackson,QB,34.47,espn
4430737,Kyren Williams,RB,34.97,espn
4595348,Malik Nabers,WR,35.09,espn
4427366,Breece Hall,RB,35.96,espn
4241478,DeVonta Smith,WR,36.59,espn
4569618,Garrett Wilson,WR,37.09,espn
4239996,Travis Etienne Jr.,RB,40.58,espn
4685472,Tetairoa McMillan,WR,42.24,espn
4723086,Colston Loveland,TE,42.35,espn
4429615,Zay Flowers,WR,44.09,espn
4567750,Emeka Egbuka,WR,44.82,espn
4696981,Cam Skattebo,RB,45.1,espn
4612826,Ladd McConkey,WR,45.8,espn
16800,Davante Adams,WR,46.11,espn
4431452,Drake Maye,QB,47.17,espn
4685702,Quinshon Judkins,RB,48.55,espn
4239993,Tee Higgins,WR,51.2,espn
4259545,D'Andre Swift,RB,51.8,espn
4431459,Tyler Warren,TE,52.04,espn
4372016,Jaylen Waddle,WR,52.19,espn
4426348,Jayden Daniels,QB,53.06,espn
3915511,Joe Burrow,QB,53.53,espn
4040715,Jalen Hurts,QB,54.73,espn
4596448,Bucky Irving,RB,56.85,espn
3915416,DJ Moore,WR,60.15,espn
3121422,Terry McLaurin,WR,60.92,espn
4882093,Bhayshul Tuten,RB,61.19,espn
4035538,David Montgomery,RB,61.55,espn
4426388,Jameson Williams,WR,64.12,espn
4431299,Rome Odunze,WR,65.27,espn
4685512,Jadarian Price,RB,66.87,espn
4360248,Kyle Pitts Sr.,TE,68.68,espn
5083076,Harold Fannin Jr.,TE,70.51,espn
