player_id,name,pos,rank,source
3117251,Christian McCaffrey,RB,2.07,espn
3116406,Tyreek Hill,WR,2.89,espn
3916148,Tony Pollard,RB,8.74,espn
3068267,Austin Ekeler,RB,10.53,espn
4047646,A.J. Brown,WR,10.63,espn
15847,Travis Kelce,TE,10.93,espn
4362628,Ja'Marr Chase,WR,11.24,espn
2976212,Stefon Diggs,WR,11.48,espn
4239996,Travis Etienne Jr.,RB,13.99,espn
15818,Keenan Allen,WR,17.45,espn
4374302,Amon-Ra St. Brown,WR,18.7,espn
4241389,CeeDee Lamb,WR,20.48,espn
4040715,Jalen Hurts,QB,21.21,espn
3054850,Alvin Kamara,RB,21.34,espn
3139477,Patrick Mahomes,QB,21.57,espn
4047365,Josh Jacobs,RB,22.35,espn
16800,Davante Adams,WR,27.24,espn
2977187,Cooper Kupp,WR,27.64,espn
4430807,Bijan Robinson,RB,28.09,espn
3916387,Lamar Jackson,QB,29.72,espn
4036133,T.J. Hockenson,TE,32.29,espn
3918298,Josh Allen,QB,32.84,espn
16737,Mike Evans,WR,33.46,espn
3929630,Saquon Barkley,RB,35.79,espn
4372016,Jaylen Waddle,WR,36.62,espn
4567048,Kenneth Walker III,RB,36.94,espn
3043078,Derrick Henry,RB,41.01,espn
16460,Adam Thielen,WR,43.23,espn
4426515,Puka Nacua,WR,43.95,espn
4569618,Garrett Wilson,WR,44.58,espn
4259545,D'Andre Swift,RB,45.17,espn
4361529,Isiah Pacheco,RB,45.52,espn
4242335,Jonathan Taylor,RB,47.5,espn
4262921,Justin Jefferson,WR,49.19,espn
4047650,DK Metcalf,WR,52.81,espn
4038941,Justin Herbert,QB,55.94,espn
3116385,Joe Mixon,RB,55.98,espn
3915416,DJ Moore,WR,56.67,espn
4427366,Breece Hall,RB,57.14,espn
4360438,Brandon Aiyuk,WR,57.76,espn
3916433,Jakobi Meyers,WR,62.08,espn
4430027,Sam LaPorta,TE,63.64,espn
15795,DeAndre Hopkins,WR,72.02,espn
3116365,Mark Andrews,TE,74.14,espn
-16018,Saints D/ST,DEF,75.99,espn
3040151,George Kittle,TE,77.63,espn
-16006,Cowboys D/ST,DEF,79.39,espn
-16033,Ravens D/ST,DEF,79.91,espn
4035538,David Montgomery,RB,80.72,espn
4429615,Zay Flowers,WR,82.16,espn
4432577,C.J. Stroud,QB,82.58,espn
4429795,Jahmyr Gibbs,RB,83.1,espn
4362081,Cameron Dicker,K,83.65,espn
4361370,Chris Olave,WR,83.88,espn
2576414,Raheem Mostert,RB,83.91,espn
4241479,Tua Tagovailoa,QB,84.9,espn
4569173,Rhamondre Stevenson,RB,92.59,espn
15683,Justin Tucker,K,92.69,espn
4241372,Marquise Brown,WR,93.47,espn
3953687,Brandon Aubrey,K,93.99,espn
-16025,49ers D/ST,DEF,94.08,espn
4697815,Rachaad White,RB,95.35,espn
3126486,Deebo Samuel,WR,99.43,espn
2577417,Dak Prescott,QB,102.27,espn
4379399,James Cook,RB,104.68,espn
4429160,De'Von Achane,RB,107.41,espn
3042519,Aaron Jones,RB,108.25,espn
4430737,Kyren Williams,RB,109.19,espn
4241478,DeVonta Smith,WR,115.15,espn
2971573,Ka'imi Fairbairn,K,116.91,espn
4360234,Evan McPherson,K,118.51,espn
3050478,Jake Elliott,K,120.58,espn
3055899,Harrison Butker,K,121.43,espn
4035687,Michael Pittman Jr.,WR,124.02,espn
-16030,Jaguars D/ST,DEF,124.63,espn
-16005,Browns D/ST,DEF,127.3,espn
3051876,Evan Engram,TE,128.25,espn
4360310,Trevor Lawrence,QB,128.38,espn
3121422,Terry McLaurin,WR,128.61,espn
4258173,Nico Collins,WR,130.27,espn
4366031,Tank Dell,WR,132.1,espn
4239993,Tee Higgins,WR,133.18,espn
-16021,Eagles D/ST,DEF,133.5,espn
3121023,Dallas Goedert,TE,133.51,espn
3117256,Dalton Schultz,TE,133.85,espn
4429205,Jordan Addison,WR,134.82,espn
2576925,Darren Waller,TE,138.25,espn
4048244,Alexander Mattison,RB,139.02,espn
4361741,Brock Purdy,QB,139.81,espn
3895856,Christian Kirk,WR,140.32,espn
4372019,Jerome Ford,RB,140.73,espn
4385690,Dalton Kincaid,TE,141.47,espn
3925357,Calvin Ridley,WR,141.54,espn
3116165,Chris Godwin,WR,142.62,espn
-16001,Falcons D/ST,DEF,143.04,espn
3123076,David Njoku,TE,143.61,espn
4035676,Zack Moss,RB,143.67,espn
4426354,George Pickens,WR,144.13,espn
4361579,Javonte Williams,RB,146.05,espn
4241457,Najee Harris,RB,146.79,espn
2976499,Amari Cooper,WR,146.8,espn
-16012,Chiefs D/ST,DEF,148.03,espn
3128429,Courtland Sutton,WR,148.31,espn
14880,Kirk Cousins,QB,149.19,espn
4035886,Khalil Herbert,RB,149.92,espn
4362887,Justin Fields,QB,150.05,espn
4360248,Kyle Pitts,TE,150.3,espn
3915511,Joe Burrow,QB,151.01,espn
2577327,Tyler Lockett,WR,151.84,espn
4242433,Joshua Palmer,WR,152.41,espn
4242355,Jake Ferguson,TE,153.05,espn
-16023,Steelers D/ST,DEF,153.64,espn
4360238,Dameon Pierce,RB,153.67,espn
-16015,Dolphins D/ST,DEF,154.31,espn
4248528,Christian Watson,WR,154.34,espn
3045147,James Conner,RB,154.65,espn
3932905,Diontae Johnson,WR,154.78,espn
4569987,Jaylen Warren,RB,154.9,espn
4241474,Brian Robinson Jr.,RB,154.97,espn
4045163,Miles Sanders,RB,155.13,espn
16733,Odell Beckham Jr.,WR,155.86,espn
14881,Russell Wilson,QB,156.1,espn
4428331,Rashee Rice,WR,156.82,espn
4426502,Drake London,WR,157.78,espn
4241463,Jerry Jeudy,WR,157.9,espn
3051926,Gus Edwards,RB,157.95,espn
4243537,Gabe Davis,WR,158.57,espn
4040761,Devin Singletary,RB,159.22,espn
15965,Dustin Hopkins,K,159.35,espn
3046779,Jared Goff,QB,159.78,espn
3917232,Tyler Bass,K,160.2,espn
3121427,Curtis Samuel,WR,160.26,espn
4688813,Josh Downs,WR,160.71,espn
2473037,Jason Myers,K,160.71,espn
-16002,Bills D/ST,DEF,160.74,espn
3917315,Kyler Murray,QB,160.83,espn
16731,Brandin Cooks,WR,161.43,espn
4372066,Jake Moody,K,161.44,espn
4372414,Elijah Moore,WR,162.01,espn
10621,Nick Folk,K,163.18,espn
4249087,Matt Gay,K,163.43,espn
4258595,Cole Kmet,TE,163.5,espn
3049899,Younghoe Koo,K,163.69,espn
15880,Robert Woods,WR,163.83,espn
4373626,Tyler Allgeier,RB,163.95,espn
4428557,Tyjae Spears,RB,164.21,espn
2976316,Michael Thomas,WR,164.32,espn
-16020,Jets D/ST,DEF,164.52,espn
